dataset,phylogroup,ST,gene,n,nST
100ST,A,4,catA1,2,100
100ST,A,10,catA1,4,100
100ST,A,34,catA2,3,100
100ST,A,34,catB3delta443-633,4,100
100ST,A,43,catA1,7,100
100ST,A,44,catA1,3,104
100ST,A,44,"catA1, catB3delta443-633",4,104
100ST,A,44,catB3delta443-633,71,104
100ST,A,46,catA1,7,100
100ST,A,46,catA2,8,100
100ST,A,46,catB3,10,100
100ST,A,46,catB3delta443-633,3,100
100ST,A,48,catA2,2,100
100ST,A,100,catA1,6,100
100ST,A,145,catA1,24,100
100ST,A,148,catA1,69,100
100ST,A,165,catA1,4,100
100ST,A,165,catA2,3,100
100ST,A,167,catA1,17,100
100ST,A,167,catB3delta443-633,39,100
100ST,A,206,catA1,13,100
100ST,A,206,catA2,2,100
100ST,A,226,catA1,5,100
100ST,A,226,catA2,2,100
100ST,A,243,catA1,2,100
100ST,A,245,catA1,65,100
100ST,A,398,catA1,3,100
100ST,A,398,catA2,4,100
100ST,A,399,"catA1, catB3delta443-633",5,85
100ST,A,540,catA1,5,100
100ST,A,542,catA2,3,91
100ST,A,617,catA1,2,100
100ST,A,617,"catA1, catB3delta443-633",10,100
100ST,A,617,"catA1, catB3delta443-633",4,100
100ST,A,617,catB3,2,100
100ST,A,617,catB3delta443-633,42,100
100ST,A,635,"catA1, catB3delta443-633",8,100
100ST,A,635,catA2,25,100
100ST,A,744,catA1,55,100
100ST,A,744,"catA1, catA2",2,100
100ST,A,744,"catA1, catB3delta443-633",3,100
100ST,A,746,catA1,7,100
100ST,A,752,catA1,5,100
100ST,A,1025,catA1,87,98
100ST,A,1060,catA1,7,100
100ST,A,1060,catB,5,100
100ST,A,1060,catB3delta443-633,10,100
100ST,A,9847,catA1,0,1
100ST,B1,21,catA1,3,100
100ST,B1,29,catA1,6,100
100ST,B1,56,catA1,5,100
100ST,B1,58,catA1,3,100
100ST,B1,101,catA1,9,100
100ST,B1,101,catA2,4,100
100ST,B1,155,catA2,3,100
100ST,B1,156,catA1,11,100
100ST,B1,156,"catA1, catB3",7,100
100ST,B1,156,"catA1, catB3",15,100
100ST,B1,156,catA2,2,100
100ST,B1,156,catB3,2,100
100ST,B1,162,catA1,5,100
100ST,B1,224,catA1,3,100
100ST,B1,224,catA2,4,100
100ST,B1,224,catB3delta443-633,2,100
100ST,B1,295,catA1,5,100
100ST,B1,443,catA1,10,100
100ST,B1,448,catA1,9,100
100ST,B1,448,"catA1, catB3",13,100
100ST,B1,448,"catA1, catB3",2,100
100ST,B1,448,catB3,2,100
100ST,B1,448,catB3delta443-633,3,100
100ST,B1,453,catA1,12,100
100ST,B1,602,catA1,9,100
100ST,B1,641,catA1,7,100
100ST,B1,940,catA1,37,59
100ST,B1,1079,catA1,2,100
100ST,B1,1196,catA2,3,100
100ST,B1,3580,catA1,2,100
100ST,B2,12,catA1,10,100
100ST,B2,73,catA1,4,100
100ST,B2,95,catA1,2,100
100ST,B2,127,catA1,11,100
100ST,B2,131,catA1,2,100
100ST,B2,131,catB3delta443-633,35,100
100ST,B2,141,catB3,2,100
100ST,B2,372,catA1,3,100
100ST,B2,428,catA1,4,100
100ST,B2,998,catA1,8,100
100ST,B2,998,catB3delta443-633,2,100
100ST,B2,1193,catB3delta443-633,6,100
100ST,C,88,catA1,12,100
100ST,C,90,catA1,7,100
100ST,C,90,catB3delta443-633,2,100
100ST,C,410,catA1,8,100
100ST,C,410,"catA1, catB3delta443-633",4,100
100ST,C,410,catB3,2,100
100ST,C,410,catB3delta443-633,39,100
100ST,D,38,catA1,12,100
100ST,D,38,catB3,4,100
100ST,D,38,catB3delta443-633,5,100
100ST,D,69,catA1,7,100
100ST,D,69,catB3delta443-633,2,100
100ST,D,349,catA1,4,100
100ST,D,349,catA2,2,100
100ST,D,362,catA1,15,100
100ST,D,362,catB3delta443-633,2,100
100ST,D,391,catA1,5,5
100ST,D,393,catA1,3,100
100ST,D,394,catA1,5,100
100ST,D,405,catA1,2,100
100ST,D,405,"catA1, catB3delta443-633",2,100
100ST,D,405,catB3delta443-633,37,100
100ST,E,57,catA1,10,100
100ST,E,146,catA1,74,100
100ST,E,146,catA3,4,100
100ST,F,62,catA1,5,100
100ST,F,117,catA1,7,100
100ST,F,354,catA1,7,100
100ST,F,354,catA2,5,100
100ST,F,354,catB3delta443-633,2,100
100ST,F,457,catA2,9,100
100ST,F,648,catA1,4,100
100ST,F,648,"catA1, catB3",3,100
100ST,F,648,"catA1, catB3delta443-633",12,100
100ST,F,648,"catA1, catB3delta443-633",3,100
100ST,F,648,catB3,9,100
100ST,F,648,catB3delta443-633,15,100
Malawi,A,10,catA1,2,20
Malawi,A,44,catB3delta443-633,26,29
Malawi,A,46,catA1,3,19
Malawi,A,46,catB3,15,19
Malawi,A,48,catA1,4,9
Malawi,A,167,catA1,18,36
Malawi,A,617,"catA1, catB3delta443-633",3,22
Malawi,A,617,"catA1, catB3delta443-633",3,22
Malawi,A,617,catB3delta443-633,12,22
Malawi,A,9847,catA1,5,7
Malawi,B1,224,catA1,2,3
Malawi,B1,443,catA1,2,2
Malawi,B1,940,catA1,14,15
Malawi,B2,12,catA1,3,3
Malawi,B2,73,catA1,2,5
Malawi,B2,131,catA1,4,64
Malawi,B2,131,catB3delta443-633,21,64
Malawi,C,410,catB3delta443-633,40,41
Malawi,D,391,catA1,2,2
Malawi,D,405,catB3delta443-633,8,10
Malawi,F,648,"catA1, catB3delta443-633",13,20
Malawi,F,648,"catA1, catB3delta443-633",5,20